BRH_region,ISOalpha3code,Country,date,year,debtpctgdp,dsa,sovrate,dsp_pctexp,reserves_mthimp,erdep,inflation,wb_incgroup
South and West Asia,AFG,Afghanistan,01/01/2000,2000,,,,,,12.44,,
South and West Asia,AFG,Afghanistan,01/02/2000,2000,,,,,,0.06,,
South and West Asia,AFG,Afghanistan,01/03/2000,2000,,,,,,0.17,,
South and West Asia,AFG,Afghanistan,01/04/2000,2000,,,,,,0.51,,
South and West Asia,AFG,Afghanistan,01/05/2000,2000,,,,,,0.51,,
South and West Asia,AFG,Afghanistan,01/06/2000,2000,,,,,,0.51,,
South and West Asia,AFG,Afghanistan,01/07/2000,2000,,,,,,0.79,,
South and West Asia,AFG,Afghanistan,01/08/2000,2000,,,,,,1.02,,
South and West Asia,AFG,Afghanistan,01/09/2000,2000,,,,,,1.02,,
South and West Asia,AFG,Afghanistan,01/10/2000,2000,,,,,,1.02,,
South and West Asia,AFG,Afghanistan,01/11/2000,2000,,,,,,1.02,,
South and West Asia,AFG,Afghanistan,01/12/2000,2000,,,,,,1.19,,Low income
South and West Asia,AFG,Afghanistan,01/01/2001,2001,,,,,,1.52,,
South and West Asia,AFG,Afghanistan,01/02/2001,2001,,,,,,0.00,,
South and West Asia,AFG,Afghanistan,01/03/2001,2001,,,,,,0.50,,
South and West Asia,AFG,Afghanistan,01/04/2001,2001,,,,,,0.50,,
South and West Asia,AFG,Afghanistan,01/05/2001,2001,,,,,,0.50,,
South and West Asia,AFG,Afghanistan,01/06/2001,2001,,,,,,0.50,,
South and West Asia,AFG,Afghanistan,01/07/2001,2001,,,,,,0.23,,
South and West Asia,AFG,Afghanistan,01/08/2001,2001,,,,,,0.00,,
South and West Asia,AFG,Afghanistan,01/09/2001,2001,,,,,,-0.01,,
South and West Asia,AFG,Afghanistan,01/10/2001,2001,,,,,,-0.01,,
South and West Asia,AFG,Afghanistan,01/11/2001,2001,,,,,,-0.01,,
